drug,Cross Carmellose Sodium,Cross Povidone,Sodium Starch Glycolate,Low-Substituted Hydroxypropyl Cellulose,Pregelatinized Starch,MCC,Mannitol,Lactose,Di Calcium Phosphate,Sucrose,Sugartab,Eudragit EPO ,Precirol A TO 5 ,Kyron T-114,Aspartame ,Sodium Saccharin,Sucralose,Sodium Stearyl Fumarate,Magnesium Stearate ,Talc,Aerosil ,Polyvinylpyrrolidone (PVP) K- 30 ,Sodium Lauryl Sulphate,Flavour / Mint ,Classification,,actual dt
17.38,0,0,1.38,0,0,31.03,45.52,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.24,0,0,0,1,,85
17.38,0,0,4.83,0,0,31.03,42.07,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.24,0,0,0,1,,56
17.38,0,1.38,0,0,0,31.03,45.52,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.24,0,0,0,1,,75
17.38,0,4.83,0,0,0,31.03,42.07,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.24,0,0,0,1,,52
17.38,1.38,0,0,0,0,31.03,45.52,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.24,0,0,0,1,,65
17.38,4.83,0,0,0,0,31.03,42.07,0,0,0,0,0,0,0,3.45,0,0,0,0,0,1.24,0,0,0,1,,38
15,0,5,10,0,0,15,35,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,38.32
15,0,5,10,0,0,25,35,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,48.67
15,0,5,6,0,0,20,30,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,88.33
15,0,5,6,0,0,15,35,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,52.67
15,0,5,8,0,0,25,30,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,46.67
15,0,5,8,0,0,15,40,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,72.67
15,0,5,6,0,0,25,35,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,76.33
15,0,5,10,0,0,20,30,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,36.33
15,0,5,10,0,0,20,40,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,41.43
15,0,5,8,0,0,25,40,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,88.49
15,0,5,8,0,0,15,30,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,65
15,0,5,6,0,0,20,40,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,97.67
15,0,5,8,0,0,20,35,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,66.43
15,0,5,8,0,0,20,35,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,73.33
15,0,5,8,0,0,20,35,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,63.45
19.96,0,0,2,0,0,76.54,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,,65
19.96,0,0,3,0,0,75.54,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,,60
19.96,0,0,1,0,0,77.54,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,,54
19.96,2,0,0,0,0,76.54,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,,35
19.96,3,0,0,0,0,75.54,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,,45
19.96,1,0,0,0,0,77.54,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,,53
5,0,0,0,0,0,39,54,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,1,,67
5,0,4,0,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,10
5,0,0,4,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,25.67
5,4,0,0,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,9.67
5,0,2,2,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,16.33
5,2,0,2,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,11.67
5,2,2,0,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,13.33
5,1.33,1.33,1.33,0,0,39,50,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,,10
33.33,0,0,2,0,0,44.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,113
33.33,0,0,4,0,0,42.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,90
33.33,0,0,6,0,0,40.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,55
33.33,2,0,0,0,0,44.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,52
33.33,4,0,0,0,0,42.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,37
33.33,6,0,0,0,0,40.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,0,,28
33.33,0,2,0,0,0,44.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,42
33.33,0,4,0,0,0,42.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,1,,31
33.33,0,6,0,0,0,40.67,16.67,0,0,0,0,0,0,0,1.33,0,0,0,0.67,0,1.33,0,0,0,0,,22
21.33,0,0,4,0,0,70.67,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,52.4
21.33,0,0,5.33,0,0,69.33,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,50.71
21.33,0,0,6.67,0,0,68,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,48.07
21.33,0,4,0,0,0,70.67,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,51.81
21.33,0,5.33,0,0,0,69.33,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,48.13
21.33,0,6.67,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,42.19
21.33,0,0,0,4,0,70.67,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,48.19
21.33,0,0,0,5.33,0,69.33,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,41.91
21.33,0,0,0,6.67,0,68,0,0,0,0,0,0,0,0,0,0,1.33,0,1.33,1.33,0,0,0,0,1,,39.46
3.85,0,3,0,0,0,15.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,1,,80
3.85,0,4,0,0,0,13.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,1,,71
3.85,0,5,0,0,0,14.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,1,,65
3.85,3,0,0,0,0,15.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,1,,59
3.85,4,0,0,0,0,13.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,1,,54
3.85,5,0,0,0,0,14.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,1,,50
3.85,0,0,3,0,0,15.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,0,,30
3.85,0,0,4,0,0,13.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,0,,25
3.85,0,0,5,0,0,14.08,0,74.62,0,0,0,0,0,0,1.54,0,0,0,1.15,0,0,0,0,0.77,0,,21
5.33,0,0,0,0,0,0,0,85.33,0,0,0,0,0,5.33,0,0,0,0,1.33,0,2.67,0,0,0,1,,45
5.33,0,0,0,0,0,0,0,80,0,0,0,0,0,10.67,0,0,0,0,1.33,0,2.67,0,0,0,1,,52
5.33,0,0,0,0,0,0,0,74.67,0,0,0,0,0,16,0,0,0,0,1.33,0,2.67,0,0,0,1,,55
5.33,0,0,0,0,0,0,0,69.33,0,0,0,0,0,21.33,0,0,0,0,1.33,0,2.67,0,0,0,1,,53
5.33,0,0,0,0,0,0,0,90.67,0,0,0,0,0,0,0,0,0,0,1.33,0,2.67,0,0,0,1,,48
5.33,0,0,10,0,0,0,0,64.67,0,0,0,0,0,16,0,0,0,0,1.33,0,2.67,0,0,0,0,,15
5.33,10,0,0,0,0,0,0,64.67,0,0,0,0,0,16,0,0,0,0,1.33,0,2.67,0,0,0,0,,12
5.33,0,10,0,0,0,0,0,64.67,0,0,0,0,0,16,0,0,0,0,1.33,0,2.67,0,0,0,0,,7
5.33,0,10,0,0,0,0,0,63.33,0,0,0,0,0,16,0,0,1.33,0,1.33,0,2.67,0,0,0,0,,7
5.33,0,10,0,0,0,0,0,62,0,0,0,0,0,16,0,0,2.67,0,1.33,0,2.67,0,0,0,0,,7
5.33,0,10,0,0,0,0,0,60.67,0,0,0,0,0,16,0,0,2.67,0,1.33,0,2.67,0,0,1.33,0,,7
2,0,2,0,0,0,39.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,58
2,0,4,0,0,0,37.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,51
2,0,6,0,0,0,35.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,45
2,0,8,0,0,0,33.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,32
2,0,0,2,0,0,39.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,150
2,0,0,4,0,0,37.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,68
2,0,0,6,0,0,35.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,60
2,0,0,8,0,0,33.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,54
2,0,0,0,0,0,41.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,180
6.25,0,2.5,0,10,0,0,74.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,32
6.25,0,5,0,10,0,0,71.93,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,17
6.25,0,7.5,0,10,0,0,69.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,15
6.25,2.5,0,0,10,0,0,74.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,33
6.25,5,0,0,10,0,0,71.93,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,20
6.25,7.5,0,0,10,0,0,69.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,16
6.25,0,0,2.5,10,0,0,74.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,38
6.25,0,0,5,10,0,0,71.93,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,32
6.25,0,0,7.5,10,0,0,69.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,26
6.25,0,2.5,0,10,0,0,74.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,32
6.25,0,5,0,10,0,0,71.93,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,24
6.25,0,7.5,0,10,0,0,69.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,22
6.25,2.5,0,0,10,0,0,74.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,34
6.25,5,0,0,10,0,0,71.93,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,28
6.25,7.5,0,0,10,0,0,69.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,26
6.25,0,0,2.5,10,0,0,74.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,38
6.25,0,0,5,10,0,0,71.93,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,31
6.25,0,0,7.5,10,0,0,69.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,24
5,0,1,0,0,0,30,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,28.4
5,0,2,0,0,0,30,0,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,22.8
5,0,3,0,0,0,30,0,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,28.1
5,0,1,0,0,0,50,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,19
5,0,2,0,0,0,50,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,15.1
5,0,3,0,0,0,50,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,16.5
5,0,1,0,0,0,70,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,11.4
5,0,2,0,0,0,70,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,11.5
5,0,3,0,0,0,70,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,9.3
25,0,0,5,0,0,10,45,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,31.5
25,0,0,10,0,0,10,40,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,36
25,0,5,0,0,0,10,45,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,21.8
25,0,10,0,0,0,10,40,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,23.4
25,5,0,0,0,0,10,45,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,44
25,10,0,0,0,0,10,40,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,58.4
10,0,2,2,0,0,69.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,1,,45
